Sorter,Combos,reverse_primer_i7,forward_primer_i5,reverse_primer_i7_well,forward_primer_i5_well,Var7,S_Row_R,S_Col_R,S_Row_F,S_Col_F,LastUsedDateTime,LastUsedBarcodeStartIndex,LastUsedBarcodeEndIndex
2,BC_00086BC_00183,BC_00086,BC_00183,C15,E16,C15E16,3,15,5,16,NaT,0,0
2,BC_00087BC_00184,BC_00087,BC_00184,E15,G16,E15G16,5,15,7,16,NaT,0,0
2,BC_00088BC_00185,BC_00088,BC_00185,G15,I16,G15I16,7,15,9,16,NaT,0,0
2,BC_00089BC_00186,BC_00089,BC_00186,I15,K16,I15K16,9,15,11,16,NaT,0,0
2,BC_00090BC_00187,BC_00090,BC_00187,K15,M16,K15M16,11,15,13,16,NaT,0,0
2,BC_00091BC_00188,BC_00091,BC_00188,M15,O16,M15O16,13,15,15,16,NaT,0,0
2,BC_00092BC_00189,BC_00092,BC_00189,O15,A18,O15A18,15,15,1,18,NaT,0,0
2,BC_00093BC_00190,BC_00093,BC_00190,A17,C18,A17C18,1,17,3,18,NaT,0,0
2,BC_00094BC_00191,BC_00094,BC_00191,C17,E18,C17E18,3,17,5,18,NaT,0,0
2,BC_00095BC_00192,BC_00095,BC_00192,E17,G18,E17G18,5,17,7,18,NaT,0,0
2,BC_00096BC_00193,BC_00096,BC_00193,G17,I18,G17I18,7,17,9,18,NaT,0,0
2,BC_00097BC_00194,BC_00097,BC_00194,I17,K18,I17K18,9,17,11,18,NaT,0,0
2,BC_00098BC_00195,BC_00098,BC_00195,K17,M18,K17M18,11,17,13,18,NaT,0,0
2,BC_00099BC_00196,BC_00099,BC_00196,M17,O18,M17O18,13,17,15,18,NaT,0,0
2,BC_00100BC_00197,BC_00100,BC_00197,O17,A20,O17A20,15,17,1,20,NaT,0,0
2,BC_00101BC_00198,BC_00101,BC_00198,A19,C20,A19C20,1,19,3,20,NaT,0,0
2,BC_00102BC_00199,BC_00102,BC_00199,C19,E20,C19E20,3,19,5,20,NaT,0,0
2,BC_00103BC_00202,BC_00103,BC_00202,E19,K20,E19K20,5,19,11,20,NaT,0,0
2,BC_00104BC_00203,BC_00104,BC_00203,G19,M20,G19M20,7,19,13,20,NaT,0,0
2,BC_00105BC_00204,BC_00105,BC_00204,I19,O20,I19O20,9,19,15,20,NaT,0,0
2,BC_00106BC_00205,BC_00106,BC_00205,K19,A22,K19A22,11,19,1,22,NaT,0,0
2,BC_00107BC_00206,BC_00107,BC_00206,M19,C22,M19C22,13,19,3,22,NaT,0,0
2,BC_00108BC_00207,BC_00108,BC_00207,O19,E22,O19E22,15,19,5,22,NaT,0,0
2,BC_00109BC_00208,BC_00109,BC_00208,A21,G22,A21G22,1,21,7,22,NaT,0,0
2,BC_00110BC_00209,BC_00110,BC_00209,C21,I22,C21I22,3,21,9,22,NaT,0,0
2,BC_00111BC_00210,BC_00111,BC_00210,E21,K22,E21K22,5,21,11,22,NaT,0,0
2,BC_00112BC_00211,BC_00112,BC_00211,G21,M22,G21M22,7,21,13,22,NaT,0,0
2,BC_00113BC_00212,BC_00113,BC_00212,I21,O22,I21O22,9,21,15,22,NaT,0,0
2,BC_00114BC_00213,BC_00114,BC_00213,K21,A24,K21A24,11,21,1,24,NaT,0,0
2,BC_00115BC_00214,BC_00115,BC_00214,M21,C24,M21C24,13,21,3,24,NaT,0,0
2,BC_00117BC_00215,BC_00117,BC_00215,A23,E24,A23E24,1,23,5,24,NaT,0,0
2,BC_00118BC_00216,BC_00118,BC_00216,C23,G24,C23G24,3,23,7,24,NaT,0,0
2,BC_00119BC_00217,BC_00119,BC_00217,E23,I24,E23I24,5,23,9,24,NaT,0,0
2,BC_00120BC_00218,BC_00120,BC_00218,G23,K24,G23K24,7,23,11,24,NaT,0,0
2,BC_00121BC_00219,BC_00121,BC_00219,I23,M24,I23M24,9,23,13,24,NaT,0,0
2,BC_00122BC_00220,BC_00122,BC_00220,K23,O24,K23O24,11,23,15,24,NaT,0,0
2,BC_00124BC_00125,BC_00124,BC_00125,O23,A2,O23A2,15,23,1,2,NaT,0,0
3,BC_00029BC_00127,BC_00029,BC_00127,A1,E2,A1E2,1,1,5,2,NaT,0,0
3,BC_00030BC_00128,BC_00030,BC_00128,C1,G2,C1G2,3,1,7,2,NaT,0,0
3,BC_00031BC_00129,BC_00031,BC_00129,E1,I2,E1I2,5,1,9,2,NaT,0,0
3,BC_00032BC_00130,BC_00032,BC_00130,G1,K2,G1K2,7,1,11,2,NaT,0,0
3,BC_00033BC_00131,BC_00033,BC_00131,I1,M2,I1M2,9,1,13,2,NaT,0,0
3,BC_00034BC_00132,BC_00034,BC_00132,K1,O2,K1O2,11,1,15,2,NaT,0,0
3,BC_00035BC_00133,BC_00035,BC_00133,M1,A4,M1A4,13,1,1,4,NaT,0,0
3,BC_00036BC_00134,BC_00036,BC_00134,O1,C4,O1C4,15,1,3,4,NaT,0,0
3,BC_00037BC_00135,BC_00037,BC_00135,A3,E4,A3E4,1,3,5,4,NaT,0,0
3,BC_00038BC_00136,BC_00038,BC_00136,C3,G4,C3G4,3,3,7,4,NaT,0,0
3,BC_00039BC_00137,BC_00039,BC_00137,E3,I4,E3I4,5,3,9,4,NaT,0,0
3,BC_00040BC_00138,BC_00040,BC_00138,G3,K4,G3K4,7,3,11,4,NaT,0,0
3,BC_00041BC_00139,BC_00041,BC_00139,I3,M4,I3M4,9,3,13,4,NaT,0,0
3,BC_00042BC_00140,BC_00042,BC_00140,K3,O4,K3O4,11,3,15,4,NaT,0,0
3,BC_00043BC_00141,BC_00043,BC_00141,M3,A6,M3A6,13,3,1,6,NaT,0,0
3,BC_00044BC_00142,BC_00044,BC_00142,O3,C6,O3C6,15,3,3,6,NaT,0,0
3,BC_00045BC_00143,BC_00045,BC_00143,A5,E6,A5E6,1,5,5,6,NaT,0,0
3,BC_00046BC_00144,BC_00046,BC_00144,C5,G6,C5G6,3,5,7,6,NaT,0,0
3,BC_00047BC_00145,BC_00047,BC_00145,E5,I6,E5I6,5,5,9,6,NaT,0,0
3,BC_00048BC_00146,BC_00048,BC_00146,G5,K6,G5K6,7,5,11,6,NaT,0,0
3,BC_00050BC_00147,BC_00050,BC_00147,K5,M6,K5M6,11,5,13,6,NaT,0,0
3,BC_00051BC_00148,BC_00051,BC_00148,M5,O6,M5O6,13,5,15,6,NaT,0,0
3,BC_00052BC_00149,BC_00052,BC_00149,O5,A8,O5A8,15,5,1,8,NaT,0,0
3,BC_00053BC_00150,BC_00053,BC_00150,A7,C8,A7C8,1,7,3,8,NaT,0,0
3,BC_00054BC_00151,BC_00054,BC_00151,C7,E8,C7E8,3,7,5,8,NaT,0,0
3,BC_00055BC_00152,BC_00055,BC_00152,E7,G8,E7G8,5,7,7,8,NaT,0,0
3,BC_00056BC_00153,BC_00056,BC_00153,G7,I8,G7I8,7,7,9,8,NaT,0,0
3,BC_00057BC_00154,BC_00057,BC_00154,I7,K8,I7K8,9,7,11,8,NaT,0,0
3,BC_00058BC_00155,BC_00058,BC_00155,K7,M8,K7M8,11,7,13,8,NaT,0,0
3,BC_00059BC_00156,BC_00059,BC_00156,M7,O8,M7O8,13,7,15,8,NaT,0,0
3,BC_00060BC_00157,BC_00060,BC_00157,O7,A10,O7A10,15,7,1,10,NaT,0,0
3,BC_00061BC_00158,BC_00061,BC_00158,A9,C10,A9C10,1,9,3,10,NaT,0,0
3,BC_00062BC_00159,BC_00062,BC_00159,C9,E10,C9E10,3,9,5,10,NaT,0,0
3,BC_00063BC_00160,BC_00063,BC_00160,E9,G10,E9G10,5,9,7,10,NaT,0,0
3,BC_00064BC_00161,BC_00064,BC_00161,G9,I10,G9I10,7,9,9,10,NaT,0,0
3,BC_00065BC_00162,BC_00065,BC_00162,I9,K10,I9K10,9,9,11,10,NaT,0,0
3,BC_00066BC_00164,BC_00066,BC_00164,K9,O10,K9O10,11,9,15,10,NaT,0,0
3,BC_00067BC_00165,BC_00067,BC_00165,M9,A12,M9A12,13,9,1,12,NaT,0,0
3,BC_00068BC_00166,BC_00068,BC_00166,O9,C12,O9C12,15,9,3,12,NaT,0,0
3,BC_00069BC_00167,BC_00069,BC_00167,A11,E12,A11E12,1,11,5,12,NaT,0,0
3,BC_00070BC_00168,BC_00070,BC_00168,C11,G12,C11G12,3,11,7,12,NaT,0,0
3,BC_00071BC_00169,BC_00071,BC_00169,E11,I12,E11I12,5,11,9,12,NaT,0,0
3,BC_00072BC_00170,BC_00072,BC_00170,G11,K12,G11K12,7,11,11,12,NaT,0,0
3,BC_00073BC_00171,BC_00073,BC_00171,I11,M12,I11M12,9,11,13,12,NaT,0,0
3,BC_00074BC_00172,BC_00074,BC_00172,K11,O12,K11O12,11,11,15,12,NaT,0,0
3,BC_00075BC_00173,BC_00075,BC_00173,M11,A14,M11A14,13,11,1,14,NaT,0,0
3,BC_00076BC_00174,BC_00076,BC_00174,O11,C14,O11C14,15,11,3,14,NaT,0,0
3,BC_00077BC_00175,BC_00077,BC_00175,A13,E14,A13E14,1,13,5,14,NaT,0,0
3,BC_00078BC_00176,BC_00078,BC_00176,C13,G14,C13G14,3,13,7,14,NaT,0,0
3,BC_00079BC_00177,BC_00079,BC_00177,E13,I14,E13I14,5,13,9,14,NaT,0,0
3,BC_00080BC_00178,BC_00080,BC_00178,G13,K14,G13K14,7,13,11,14,NaT,0,0
3,BC_00081BC_00179,BC_00081,BC_00179,I13,M14,I13M14,9,13,13,14,NaT,0,0
3,BC_00082BC_00180,BC_00082,BC_00180,K13,O14,K13O14,11,13,15,14,NaT,0,0
3,BC_00083BC_00181,BC_00083,BC_00181,M13,A16,M13A16,13,13,1,16,NaT,0,0
3,BC_00084BC_00182,BC_00084,BC_00182,O13,C16,O13C16,15,13,3,16,NaT,0,0
